team_id,team_name,country
4981,Panthers,Portugal
6437,Gosu,"United States"
4489,Lions,Sweden
6239,Nexus,Canada
6283,Georgia,Georgia
6241,"LGB fe",Norway
4500,logiX,Europe
4546,puta,Denmark
6378,TwistoFate,China
4512,eXtensive,France
6411,"FTW.Evo Twitch",Portugal
6117,ACE,Canada
6889,E-Corp,France
4691,WaRLegenD,France
4458,iGamerz,France
4906,Sprintfox,Europe
7253,VenatoreS,Poland
7134,"Global Sanction",Australia
6029,UNLEASHED,Sweden
5126,"momo momo",Denmark
5956,QuetzaL,Mexico
6477,"Player 5",Korea
5579,volgare,Hungary
6505,Goalie,China
6530,Dictionary,China
5652,savage,Canada
5347,BLUEJAYS,Germany
6445,Expendables,Philippines
7116,nGse,"Hong Kong"
7153,DreamRAR,Tunisia
5885,"NiP Staff",Sweden
7206,PuddiPuddi,Russia
6553,"Infernal Paradise",Russia
6103,Wrecking,Bulgaria
5428,faithIN,Serbia
6874,IDM,Brazil
6305,Malaysia,Malaysia
7100,Curiosity,"South Africa"
6246,dope,Russia
4526,TeamCRG,"United Kingdom"
5826,myMDL,Finland
4643,Denial,Europe
6972,Detonate,"North America"
5632,"allu's team",Finland
6264,KappaKappa,Sweden
7067,Reload,Australia
6097,Steelseries,Australia
6498,"Imperial Dragons",Poland
5407,KIYF,Spain
4934,Cursive,Finland
5082,IGG,Romania
6000,TRS,Argentina
6069,FUGL?,Denmark
6055,WOOSAH,"United States"
7094,"Master Grade",China
6138,INFINITY,Sweden
7065,GUTS,Australia
6872,"Area08 fe",Sweden
6135,Noble,"United States"
6321,Coast,"United States"
4675,Evokate,France
6030,Caseking,Germany
5827,"Hanat auki",Finland
5113,Switzerland,Switzerland
6444,HS.GG,CIS
7154,"FENNEC ",Algeria
6635,eFuture,China
7234,Endpoint,"United Kingdom"
6851,walkover,Denmark
7086,"Energy Pacemaker",China
5927,Incursion,"United States"
6898,B.O.O.T,China
5616,KNR,Poland
6352,Brutality,India
5190,United5,"United States"
6563,MDK,"South Africa"
4829,naptoR.Factory,Denmark
6765,"White Rabbit","South Africa"
4592,dAT,Russia
6461,"NewSkill Infinity",Europe
5121,Berzerk,Germany
4645,mouseSpaz,"United States"
5067,Greece,Greece
6722,"Imperio Multimedia",Portugal
4495,"Tt Dragons",Germany
5173,pod,Europe
5902,"Virtus.pro Staff",Russia
6527,"Just Make it Fast","North America"
5638,"shaker's team",Finland
6332,"EZ on The Soul","United States"
6362,summa.gg,Spain
4591,Wizards,Denmark
5079,Macedonia,Macedonia
7012,"Dai Dai",Brazil
7084,"EYESports fe",Russia
6348,Liondogs,Greece
5007,cuLtivation,"United States"
6101,vVv,"United States"
4900,CPLAY,Italy
5077,Israel,Israel
6432,stfuNerd,Denmark
4914,3DMAX,France
7105,Blight,"United States"
5006,MonoManiac,"United States"
6707,RONIN,Canada
4846,Heroic,Denmark
6313,Kyrgyzstan,Kyrgyzstan
5754,Malta,Malta
4732,partyastronauts,Norway
5030,highgrade,Sweden
4493,SFTO,Europe
5640,UNNAMED,Russia
5787,"The Lone Rangers","United Kingdom"
